S/N,E-waste Collection Points,Collection Type,Location,Postal Code,Remarks,Website,
63,HEALTH SCIENCE AUTHORITY,1. Permanent E-bin,"11 OUTRAM ROAD, LEVEL 1",169078,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
64,HEARTBEAT @ BEDOK (KAMPONG CHAI CHEE CC),1. Permanent E-bin,"11 BEDOK NORTH STREET 1, MAIN ATRIUM",469662,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
65,HEWLETT-PACKARD @ HP ENTERPRISE,1. Permanent E-bin,"1 DEPOT CLOSE, HP ENTERPRISE",109841,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
66,HILLVIEW CC,1. Permanent E-bin,"1 HILLVIEW RISE, HILLVIEW CC, MAIN LOBBY",667970,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
67,HONG KAH NORTH CC,1. Permanent E-bin,"30 BUKIT BATOK STREET 31, HONG KAH NORTH CC, REAR ENTRANCE",659440,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
68,HOUGANG CC,1. Permanent E-bin,"35 HOUGANG AVENUE 3, MAIN ENTRANCE",538840,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
69,I12 KATONG,1. Permanent E-bin,"112 EAST COAST ROAD, I12 KATONG, B2 TRAVELLATOR",428802,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
70,ICA @ PASIR PANJANG TERMINAL BUILDING 3,1. Permanent E-bin,"3 HARBOUR DRIVE, PASIR PANJANG TERMINAL BUILDING 3",117404,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
71,IMM,1. Permanent E-bin,"2 JURONG EAST STREET 21, LOADING BAY",609601,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
72,INTERNATIONAL PLAZA,1. Permanent E-bin,"10 ANSON ROAD, INTERNATIONAL PLAZA, LEVEL 2 GREEN CORNER",79903,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
73,ITE COLLEGE CENTRAL,1. Permanent E-bin,"2 ANG MO KIO DRIVE, ATRIUM LEVEL",567720,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
74,ITE COLLEGE EAST,1. Permanent E-bin,"10 SIMEI AVE, ITE COLLEGE EAST, #B1-14, ADMIN BUILDING LOBBY, CUSTOMER VISITOR CENTRE",486047,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
75,ITE COLLEGE WEST,1. Permanent E-bin,"1 CHOA CHU KANG GROVE, ITE COLLEGE WEST, BLOCK 1, LEVEL 3 FOOD CANOPY",688236,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
76,JURONG SPRING CC,1. Permanent E-bin,"8 JURONG WEST STREET 52, JURONG SPRING CC, LOBBY",649296,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
77,KAMPONG GLAM CC,1. Permanent E-bin,"385 BEACH ROAD, KAMPONG GLAM CC, MAIN LOBBY",199581,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
78,KAMPONG UBI INDUSTRIAL ESTATE BLOCK 3024A,1. Permanent E-bin,"3024A UBI RD 1, PAVILION",408718,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
79,KEAT HONG CC,1. Permanent E-bin,"2 CHOA CHU KANG LOOP, KEAT HONG CC, WALKWAY CORRIDOR",689687,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,
