"""S/N""","""E-waste Collection Points""","""Collection Type""","""Location""","""Postal Code""","""poster""","""Remarks""","""Website""","""lat""","""lng"""
43,"""CONNECTION ONE""","""1. Permanent E-bin""","""168 JALAN BUKIT MARAH, SURBANA ONE, LEVEL 1""",150169,150169,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.28331722,103.8188631
45,"""DAWSON PLACE""","""1. Permanent E-bin""","""57 DAWSON RD, DAWSON PLACE""",142057,142057,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.292703399,103.810959
46,"""DEPOT HEIGHTS SHOPPING CENTRE""","""1. Permanent E-bin""","""108 DEPOT ROAD, DEPOT HEIGHTS SHOPPING CENTRE""",100108,100108,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.280966807,103.8102982
47,"""ELIAS MALL""","""1. Permanent E-bin""","""623 ELIAS ROAD, ELIAS MALL, MAIN ENTRANCE""",510623,510623,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.377828766,103.9423643
48,"""ENVIRONMENT BUILDING (MSE/NEA)""","""1. Permanent E-bin""","""40 SCOTTS ROAD""",228231,228231,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.310522321,103.8362252
49,"""EUNOS CC""","""1. Permanent E-bin""","""180 BEDOK RESERVOIR ROAD, MAIN ENTRANCE""",479220,479220,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.332626783,103.91523
50,"""FAJAR SHOPPING CENTRE""","""1. Permanent E-bin""","""445 FAJAR ROAD, FAJAR SHOPPING CENTRE, COMMON CORRIDOR""",670445,670445,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.383574699,103.7708685
51,"""FARRER GARDENS RC""","""1. Permanent E-bin""","""4 QUEEN’S ROAD, FARRER GARDENS RC""",260004,260004,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.318832253,103.808062
52,"""FOOD CANOPY COFFEE SHOP""","""1. Permanent E-bin""","""260 ANG MO KIO STREET 21, #01-06""",560260,560260,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.368916171,103.8344995
53,"""FUCHUN CC""","""1. Permanent E-bin""","""1 WOODLANDS STREET 31, FUCHUN CC, LIFT LOBBY""",738581,738581,"""E-waste accepted: ICT equipment, Batteries and Lamps only""","""https://alba-ewaste.sg""",1.429586606,103.7748501
