"""S/N""","""E-waste Collection Points""","""Collection Type""","""Location""","""Postal Code""","""poster""","""Remarks""","""Website""","""lat""","""lng"""
233,"""FAIRPRICE @ 212 BEDOK NTH ST""","""2. Retailer E-bin""","""212 BEDOK NTH ST 1, #01-147""",460212,460212,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.325940692,103.93164
234,"""FAIRPRICE @ 28 DOVER CRESCENT""","""2. Retailer E-bin""","""28 DOVER CRESCENT,  28 DOVER CRESCENT, #01-83""",130028,130028,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.304460927,103.7817797
235,"""FAIRPRICE @ 29B CHAI CHEE AVENUE""","""2. Retailer E-bin""","""29B CHAI CHEE AVENUE, #01-62""",462029,462029,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.32406382,103.9239529
236,"""FAIRPRICE @ 345 JURONG EAST ST 31""","""2. Retailer E-bin""","""345 JURONG EAST ST 31, #01-29""",600345,600345,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.345512106,103.7312191
237,"""FAIRPRICE @ 355 SEMBAWANG WAY""","""2. Retailer E-bin""","""355 SEMBAWANG WAY, #01-01""",750355,750355,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.449544856,103.8187276
238,"""FAIRPRICE @ 36 HOLLAND DR""","""2. Retailer E-bin""","""36 HOLLAND DR, #01-03/04/05""",270036,270036,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.309174198,103.7926926
239,"""FAIRPRICE @ 414 YISHUN RING RD""","""2. Retailer E-bin""","""414 YISHUN RING RD, #01-185""",760414,760414,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.424528497,103.8465955
240,"""FAIRPRICE @ 451 AVE 3""","""2. Retailer E-bin""","""451 CLEMENTI AVE 3,  451 AVE 3, #01-307""",120451,120451,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.312686368,103.7656232
241,"""FAIRPRICE @ 460 ALEXANDRA RD""","""2. Retailer E-bin""","""460 ALEXANDRA RD, 460 ALEXANDRA RD, #01-09 AND #01-16""",119963,119963,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.273625583,103.8012223
242,"""FAIRPRICE @ 475 TAMPINES ST44""","""2. Retailer E-bin""","""475 TAMPINES ST 44, #01-145""",520475,520475,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.360323319,103.9531296
244,"""FAIRPRICE @ 50 HAVELOCK RD""","""2. Retailer E-bin""","""50 HAVELOCK RD,  50 HAVELOCK RD, #01-755""",160050,160050,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.289764755,103.8268029
245,"""FAIRPRICE @ 500 LOR 6 TOA PAYOH""","""2. Retailer E-bin""","""500 LOR 6 TOA PAYOH, #B1-32/#01-33""",310500,310500,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.332855429,103.8470923
246,"""FAIRPRICE @ 502 WEST COAST DR""","""2. Retailer E-bin""","""502 WEST COAST DR,  502 WEST COAST DR, #01-41""",120502,120502,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.311906957,103.759128
247,"""FAIRPRICE @ 51 UPPER SERANGOON RD""","""2. Retailer E-bin""","""51 UPPER SERANGOON RD, THE POIZ CENTRE, #01-30 TO 32, 41 TO 49""",347697,347697,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.331355508,103.8681501
248,"""FAIRPRICE @ 510 BISHAN ST 13""","""2. Retailer E-bin""","""510 BISHAN ST 13, #01-520""",570510,570510,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.348888439,103.849692
249,"""FAIRPRICE @ 511 CANBERRA RD""","""2. Retailer E-bin""","""511 CANBERRA RD, #02-03""",750511,750511,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.45384519,103.8195433
250,"""FAIRPRICE @ 6 MARINE PARADE CENTRAL""","""2. Retailer E-bin""","""6 MARINE PARADE CENTRAL""",449411,449411,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.301347148,103.9071836
251,"""FAIRPRICE @ 612/620 GEYLANG LOR 38""","""2. Retailer E-bin""","""612/620 GEYLANG LOR 38""",389551,389551,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.314150013,103.8885449
252,"""FAIRPRICE @ 66 YUNG KANG RD""","""2. Retailer E-bin""","""63/66 YUNG KUANG RD,  66 YUNG KANG RD, #01-119 AND #02-119""",610063,610063,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.332059386,103.7224529
253,"""FAIRPRICE @ 71 KALLANG BAHRU""","""2. Retailer E-bin""","""71 KALLANG BAHRU, #01-529/#02-531""",330071,330071,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.320992942,103.87039
254,"""FAIRPRICE @ 712 ANG MO KIO""","""2. Retailer E-bin""","""712 ANG MO KIO AVE 6,  712 ANG MO KIO, #01-4056""",560712,560712,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.371410968,103.8470845
255,"""FAIRPRICE @ 80 LORONG LIMAU""","""2. Retailer E-bin""","""80 LORONG LIMAU, #01-19""",320080,320080,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.323796071,103.8556706
256,"""FAIRPRICE @ 808 FRENCH RD""","""2. Retailer E-bin""","""808 FRENCH RD #01-01, #01-01""",200808,200808,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.308782165,103.8613785
257,"""FAIRPRICE @ 849 YISHUN RING RD""","""2. Retailer E-bin""","""849 YISHUN RING RD, #01-370""",760849,760849,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.416959243,103.8353519
258,"""FAIRPRICE @ 866A TAMPINES ST 83""","""2. Retailer E-bin""","""866A TAMPINES ST 83, #01-01""",521866,521866,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.355393063,103.9344293
259,"""FAIRPRICE @ 888 WOODLANDS DR 50""","""2. Retailer E-bin""","""888 WOODLANDS DR 50, #01-757""",730888,730888,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.437118561,103.7953161
260,"""FAIRPRICE @ BEDOK MALL""","""2. Retailer E-bin""","""311 NEW UPPER CHANGI RD, BEDOK MALL, #B2-60""",467360,467360,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.324750542,103.9291892
261,"""FAIRPRICE @ BOON LAY SHOPPING CENTRE""","""2. Retailer E-bin""","""221 BOON LAY PLACE, BOON LAY SHOPPING CENTRE, #02-200""",640221,640221,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.346373764,103.7124728
262,"""FAIRPRICE @ BUKIT PANJANG PLAZA""","""2. Retailer E-bin""","""1 JELEBU RD, BUKIT PANJANG PLAZA, #01-15 & #02-20""",677743,677743,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.380522395,103.7640514
263,"""FAIRPRICE @ BUKIT TIMAH PLAZA""","""2. Retailer E-bin""","""1 JLN ANAK BUKIT, BUKIT TIMAH PLAZA, #B1-01 & #B2-01""",588996,588996,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.338631653,103.7785854
264,"""FAIRPRICE @ CANBERRA PLAZA""","""2. Retailer E-bin""","""133 CANBERRA VIEW, CANBERRA PLAZA, #B1-03/04""",750133,750133,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.443495445,103.8303454
265,"""FAIRPRICE @ CHANGI CITY POINT""","""2. Retailer E-bin""","""5 CHANGI BUSINESS PARK CENTRAL 1, CHANGI CITY POINT, #B1-09/10/11""",486038,486038,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.334083638,103.962946
267,"""FAIRPRICE @ CITY SQUARE MALL""","""2. Retailer E-bin""","""180 KITCHENER RD, CITY SQUARE MALL, #B1-09/10""",208539,208539,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.311305171,103.8564218
268,"""FAIRPRICE @ COMPASSVALE LINK""","""2. Retailer E-bin""","""277C COMPASSVALE LINK, #01-13""",544277,544277,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.381833459,103.8939094
269,"""FAIRPRICE @ DAWSON PLACE""","""2. Retailer E-bin""","""57 DAWSON RD, DAWSON PLACE, #01-07""",142057,142057,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.292703399,103.810959
270,"""FAIRPRICE @ DEPOT HEIGHTS SHOPPING CENTRE""","""2. Retailer E-bin""","""108 DEPOT RD, DEPOT HEIGHTS SHOPPING CENTRE, #01-01""",100108,100108,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.280966807,103.8102982
271,"""FAIRPRICE @ EASTPOINT""","""2. Retailer E-bin""","""3 SIMEI ST 6, EASTPOINT, #05-01""",528833,528833,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.342691998,103.9530508
272,"""FAIRPRICE @ HILLION MALL""","""2. Retailer E-bin""","""17 PETIR RD, HILLION MALL, #B2-67""",678278,678278,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.378411651,103.7638295
273,"""FAIRPRICE @ HOMETEAM NS BUKIT BATOK CLUBHOUSE""","""2. Retailer E-bin""","""2 BUKIT BATOK WEST AVE 7, HOMETEAM NS BUKIT BATOK CLUBHOUSE, #01-10""",659003,659003,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.365773912,103.7485209
274,"""FAIRPRICE @ HOUGANG MALL""","""2. Retailer E-bin""","""90 HOUGANG AVE 10, HOUGANG MALL, #B1-07""",538766,538766,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.372483087,103.8937881
275,"""FAIRPRICE @ JOO CHIAT COMPLEX""","""2. Retailer E-bin""","""2 JOO CHIAT RD, JOO CHIAT COMPLEX, #01-1139 / #02-1139""",420002,420002,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.315539644,103.8987649
276,"""FAIRPRICE @ JUNCTION 8 SHOPPING CENTRE""","""2. Retailer E-bin""","""9 BISHAN PLACE, JUNCTION 8 SHOPPING CENTRE, #B1-01""",579837,579837,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.350422157,103.8488262
277,"""FAIRPRICE @ JURONG POINT 1""","""2. Retailer E-bin""","""1 JURONG WEST CENTRAL 2, JURONG POINT 1, #B1-09""",648886,648886,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.339452004,103.706685
278,"""FAIRPRICE @ KAMPUND ADMIRALTY""","""2. Retailer E-bin""","""676 WOODLANDS DR 71, KAMPUND ADMIRALTY, #B1-02""",730676,730676,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.439862176,103.8007268
279,"""FAIRPRICE @ KANG KAR MALL""","""2. Retailer E-bin""","""100 HOUGANG AVE 10, KANG KAR MALL, #01-01/#02-01""",538767,538767,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.371779961,103.8941654
280,"""FAIRPRICE @ LIMBANG SHOPPING CENTRE""","""2. Retailer E-bin""","""533 CHOA CHUA KANG ST 51, LIMBANG SHOPPING CENTRE, #01-11""",680533,680533,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.392073887,103.7430996
281,"""FAIRPRICE @ LOT 1 SHOPPERS' MALL""","""2. Retailer E-bin""","""21 CHOA CHU KANG AVE 4, LOT 1 SHOPPERS' MALL, #B1-03""",689812,689812,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.385068365,103.7449504
282,"""FAIRPRICE @ MARSILING MRT""","""2. Retailer E-bin""","""71 WOODLANDS AVE 3, MARSLING MRT, #01-01""",739044,739044,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.432521149,103.7740746
283,"""FAIRPRICE @ NORTHPOINT CITY""","""2. Retailer E-bin""","""1 NORTHPOINT DRIVE, NORTHPOINT CITY, #B2-103 TO 107""",768019,768019,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.428754606,103.8363245
284,"""FAIRPRICE @ NUH MEDICAL CENTRE""","""2. Retailer E-bin""","""1 LOWER KENT RIDGE RD, NUH MEDICAL CENTRE, #02-16""",119082,119082,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.293512877,103.7846856
285,"""FAIRPRICE @ OASIS TERRACES""","""2. Retailer E-bin""","""681 PUNGGOL DR, OASIS TERRACES, #B1-01""",820681,820681,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.402780157,103.9132151
286,"""FAIRPRICE @ ORCHARD GRAND COURT""","""2. Retailer E-bin""","""131 KILLINEY RD, ORCHARD GRAND COURT, #01-01/02/03""",239571,239571,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.297275314,103.8385339
287,"""FAIRPRICE @ OUR TAMPINES HUB""","""2. Retailer E-bin""","""1 TAMPINES WALK, OUR TAMPINES HUB, #B1-01""",528523,528523,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.353300307,103.9405254
288,"""FAIRPRICE @ PASIR RIS WEST PLAZA""","""2. Retailer E-bin""","""734 PASIR RIS ST 72, PASIR RIS WEST PLAZA, #01-37""",510734,510734,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.379698021,103.9362708
289,"""FAIRPRICE @ PAYA LEBAR QUARTER""","""2. Retailer E-bin""","""10 PAYA LEBAR RD, PAYA LEBAR QUARTER, #B2-09""",409057,409057,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.317561159,103.8928367
290,"""FAIRPRICE @ PUNGGOL PLAZA""","""2. Retailer E-bin""","""168 PUNGGOL FIELD RD, PUNGGOL PLAZA, #03-01/02""",820168,820168,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.394174473,103.91312
291,"""FAIRPRICE @ RIVERVALE MALL""","""2. Retailer E-bin""","""11 RIVERVALE CRESCENT, RIVERVALE MALL, #03-01""",545082,545082,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.392217327,103.9044731
292,"""FAIRPRICE @ RIVERVALE PLAZA""","""2. Retailer E-bin""","""118 RIVERVALE DR, RIVERVALE PLAZA, #01-08""",540118,540118,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.385553097,103.9019607
293,"""FAIRPRICE @ SCOTTS SQUARE""","""2. Retailer E-bin""","""6 SCOTTS RD, SCOTTS SQUARE, #B1-03 TO 07 AND #B1-10""",228209,228209,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.305855826,103.8329844
294,"""FAIRPRICE @ SELETAR MALL""","""2. Retailer E-bin""","""33 SENGKANG WEST AVE, SELETAR MALL, #B2-24""",797653,797653,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.391315491,103.8762132
295,"""FAIRPRICE @ SENJA GRAND""","""2. Retailer E-bin""","""628 SENJA RD, SENJA GRAND, #01-01""",670628,670628,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.385096025,103.7602184
296,"""FAIRPRICE @ SERANGOON GARDEN VILLAGE""","""2. Retailer E-bin""","""1 MAJU AVE, SERANGOON GARDEN VILLAGE, #B1-11""",556679,556679,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.365280606,103.8651012
297,"""FAIRPRICE @ SINGPOST CENTRE""","""2. Retailer E-bin""","""10 EUNOS RD 8, SINGPOST CENTRE #B1-101 TO 107""",408600,408600,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.318931326,103.8944829
298,"""FAIRPRICE @ SQUARE 2""","""2. Retailer E-bin""","""10 SINARAN DR, SQUARE 2, #04-46/47/48/49""",307506,307506,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.320441031,103.8441926
299,"""FAIRPRICE @ SUN PLAZA""","""2. Retailer E-bin""","""30 SEMBAWANG DRIVE, SUN PLAZA, #B1-01/02""",757713,757713,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.448200366,103.8195301
300,"""FAIRPRICE @ TAMAN JURONG SHOPPING CENTRE""","""2. Retailer E-bin""","""399 YUNG SHENG RD, TAMAN JURONG SHOPPING CENTRE, #01-35""",610399,610399,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.334844875,103.720462
301,"""FAIRPRICE @ TAMPINES MALL""","""2. Retailer E-bin""","""4 TAMPINES CENTRAL 5, TAMPINES MALL, #B1-12""",529510,529510,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.352504683,103.9446826
303,"""FAIRPRICE @ THE CLEMENTI MALL""","""2. Retailer E-bin""","""3155 COMMONWEALTH AVENUE WEST, THE CLEMENTI MALL, #B1-12""",129588,129588,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.315495939,103.7645838
304,"""FAIRPRICE @ THOMSON PLAZA""","""2. Retailer E-bin""","""301 UPPER THOMSON RD, THOMSON PLAZA, #03-37/38""",574408,574408,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.354794362,103.8309249
305,"""FAIRPRICE @ WHITE SANDS""","""2. Retailer E-bin""","""1 PASIR RIS CENTRAL ST 3, WHITE SANDS, #B1-10""",518457,518457,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.372287616,103.9497339
306,"""FAIRPRICE @ WISTERIA MALL""","""2. Retailer E-bin""","""598 YISHUN RING RD, WISTERIA MALL, #01-01""",768698,768698,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.417989691,103.8413173
307,"""FAIRPRICE @ WOODLANDS CIVIC CENTRE""","""2. Retailer E-bin""","""900 SOUTH WOODLANDS DRIVE, WOODLANDS CIVIC CENTRE, #B1-01""",730900,730900,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.434990016,103.7869821
308,"""FAIRPRICE @ YEW TEE MRT STATION""","""2. Retailer E-bin""","""61 CHOA CHU KANG DR, YEW TEE MRT STATION, #01-01""",689715,689715,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.397535069,103.7474052
309,"""FAIRPRICE @ YEW TEE POINT""","""2. Retailer E-bin""","""21 CHOA CHU KANG NORTH 6, YEW TEE POINT, #B1-01""",689578,689578,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.397084324,103.746598
310,"""FAIRPRICE @ YISHUN MRT""","""2. Retailer E-bin""","""301 YISHUN AVE 2, YISHUN MRT STATION, #01-02""",769093,769093,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.429443085,103.835005
311,"""FAIRPRICE @ ZHONG SHAN PARK""","""2. Retailer E-bin""","""20 AH HOOD RD, ZHONG SHAN PARK, #02-01""",329984,329984,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.327029916,103.8464909
312,"""GIANT @ 161 ANG MO KIO AVE 4""","""2. Retailer E-bin""","""161 ANG MO KIO AVE 4, #01-504""",560161,560161,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.374164454,103.8395491
313,"""GIANT @ BEDOK MARKET PLACE""","""2. Retailer E-bin""","""348 BEDOK ROAD, #01-01""",469560,469560,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.331436231,103.9482603
314,"""GIANT @ GIANT HYPERMART TAMPINES""","""2. Retailer E-bin""","""21 TAMPINES NORTH DRIVE 2, GIANT HYPERMART TAMPINES, #03-01""",528765,528765,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.372101699,103.9319999
315,"""GIANT @ HOUGANG GREEN SHOPPING MALL""","""2. Retailer E-bin""","""21 HOUGANG ST 51, #01-52""",538719,538719,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.379317835,103.8878471
316,"""GIANT @ IMM""","""2. Retailer E-bin""","""2 JURONG EAST STREET 21, #01-100""",609601,609601,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.334917588,103.7468771
317,"""GIANT @ LOYANG POINT""","""2. Retailer E-bin""","""259 PASIR RIS ST 21, #01-27""",510259,510259,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.36645364,103.9645985
318,"""GIANT @ PIONEER MALL""","""2. Retailer E-bin""","""638 JURONG WEST STREET 61, #03-01""",640638,640638,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.341673319,103.6972445
319,"""GIANT @ SEMBAWANG SHOPPING CENTRE""","""2. Retailer E-bin""","""604 SEMBAWANG ROAD, #B1-25""",758459,758459,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.441853079,103.8249704
321,"""GIANT @ WOODLANDS NORTH PLAZA""","""2. Retailer E-bin""","""883 WOODLANDS STREET 82, #01-498""",730883,730883,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.442835921,103.7907708
322,"""LIGHT-PRO FURNISHINGS @ 341 BALESTIER ROAD""","""2. Retailer E-bin""","""341 BALESTIER ROAD, #01-02""",329773,329773,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.324172585,103.8512087
323,"""MR. DIY @ BOON LAY SHOPPING CENTRE""","""2. Retailer E-bin""","""221 BOON LAY PLACE, BOON LAY SHOPPING COMPLEX, #02-164""",640221,640221,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.346373764,103.7124728
324,"""MR. DIY @ CENTURY SQUARE""","""2. Retailer E-bin""","""2 TAMPINES CENTRAL 5, CENTURY SQAURE, #04-07 & 04-20/ 21""",529509,529509,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.352368296,103.9438123
325,"""MR. DIY @ DOWNTOWN EAST""","""2. Retailer E-bin""","""1 PASIR RIS CLOSE, E!HUB, #01-103""",519599,519599,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.379127179,103.9554448
326,"""MR. DIY @ JUNCTION 10""","""2. Retailer E-bin""","""1 WOODLANDS ROAD, #02-02 TO 07""",677899,677899,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.38018163,103.7604193
327,"""MR. DIY @ KALLANG BAHRU""","""2. Retailer E-bin""","""71 KALLANG BAHRU, #01-531""",330071,330071,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.320992942,103.87039
328,"""MR. DIY @ KINEX""","""2. Retailer E-bin""","""11 TANJONG KATONG ROAD, KINEX, #03-29 to 34""",437157,437157,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.314618499,103.894738
329,"""MR. DIY @ LOYANG POINT""","""2. Retailer E-bin""","""259 PASIR RIS STREET 21, #01-27, NEAR GIANT ENTRANCE""",510259,510259,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.36645364,103.9645985
330,"""MR. DIY @ SEMBAWANG SHOPPING CENTRE""","""2. Retailer E-bin""","""604 SEMBAWANG ROAD, SEMBAWANG SHOPPING CENTRE, #02-20/21""",758459,758459,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.441853079,103.8249704
331,"""MR. DIY @ TOA PAYOH""","""2. Retailer E-bin""","""192 TOA PAYOH LOR 4, #02-674""",310192,310192,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.331616833,103.8506237
332,"""MR. DIY @ WESTGATE""","""2. Retailer E-bin""","""3 GATEWAY DRIVE, WESTGATE, #03-46/47/48""",608532,608532,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.33415752,103.7427665
333,"""SHENG SIONG @ 108 MCNAIR""","""2. Retailer E-bin""","""108 MCNAIR RD, #01-295""",321108,321108,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.321619038,103.8593827
334,"""SHENG SIONG @ 115 BEDOK NORTH""","""2. Retailer E-bin""","""115 BEDOK NORTH ROAD, #01-319""",460115,460115,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.33143368,103.9368654
335,"""SHENG SIONG @ 122 ANG MO KIO""","""2. Retailer E-bin""","""122 ANG MO KIO AVE 3, #01-1753""",560122,560122,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.370188607,103.8434132
336,"""SHENG SIONG @ 154A BUKIT BATOK WEST""","""2. Retailer E-bin""","""154A BUKIT BATOK WEST AVE 8, #01-01""",651154,651154,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.347371802,103.7436981
337,"""SHENG SIONG @ 18 TECK WHYE""","""2. Retailer E-bin""","""18 TECK WHYE LANE, #01-95""",680018,680018,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.378297688,103.7540714
338,"""SHENG SIONG @ 182 WOODLANDS""","""2. Retailer E-bin""","""182 WOODLANDS ST 13, #01-01""",730182,730182,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.435158951,103.7760233
339,"""SHENG SIONG @ 19 SERANGOON""","""2. Retailer E-bin""","""19 SERANGOON NORTH AVE 5, #01-01""",554913,554913,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.375635002,103.8719964
340,"""SHENG SIONG @ 200 UPPER THOMSON""","""2. Retailer E-bin""","""200 UPP THOMSON RD, #B1-01""",574424,574424,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.351844992,103.8360536
341,"""SHENG SIONG @ 200 WOODLANDS IND PARK""","""2. Retailer E-bin""","""200 WOODLANDS INDUSTRIAL PARK E7, #01-30""",757177,757177,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.450749733,103.7968465
342,"""SHENG SIONG @ 209 NEW UPPER CHANGI RD""","""2. Retailer E-bin""","""209 NEW UPPER CHANGI RD, #01-631, BESIDE MAIN ENTRANCE""",460209,460209,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.324635731,103.9310688
343,"""SHENG SIONG @ 231 SUMANG LANE""","""2. Retailer E-bin""","""231 SUMANG LANE, #01-02""",820231,820231,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.402059983,103.8922117
344,"""SHENG SIONG @ 233 ANG MO KIO""","""2. Retailer E-bin""","""233 ANG MO KIO AVE 3, #01-1168""",560233,560233,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.36754925,103.8367406
345,"""SHENG SIONG @ 25 GHIM MOH""","""2. Retailer E-bin""","""25 GHIM MOH LINK, #01-11""",270025,270025,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.308147469,103.7862552
346,"""SHENG SIONG @ 258 PASIR RIS""","""2. Retailer E-bin""","""258 PASIR RIS ST 21, #02-10""",510258,510258,"""E-waste accepted: Batteries and Lamps only""","""https://alba-ewaste.sg""",1.367066342,103.9646356
